23,25,23,25,25,27,27,30,30,31
25,24,25,23,25,30,29,27,30,30
24,23,26,23,24,25,29,31,29,31
31,24,22,24,24,25,27,27,29,27
28,23,24,22,25,23,33,30,30,28
26,23,33,23,27,25,24,26,30,33
33,30,32,26,23,28,27,23,30,27
30,27,30,31,27,22,27,32,26,33
21,28,24,33,25,28,29,26,31,31
26,30,29,26,29,26,26,28,29,30
29,25,28,31,25,26,28,23,26,30
31,23,19,25,24,28,30,25,24,28
25,31,31,27,26,26,25,29,27,28
27,22,27,28,27,27,24,26,29,21
29,27,24,29,25,29,27,27,27,25
28,27,29,28,24,22,22,25,22,23
26,29,25,25,22,28,26,22,28,29
31,26,27,24,28,23,22,28,20,26
29,29,30,26,24,24,21,27,26,28
27,29,26,29,26,23,27,23,21,24
25,30,24,29,23,24,24,23,25,31
28,29,24,30,27,28,23,26,24,19
24,24,28,25,27,25,27,24,24,21
26,23,22,28,24,27,29,20,24,24
24,24,31,29,25,26,25,24,23,30
28,23,25,27,25,24,23,23,20,19
25,26,29,25,25,21,22,20,25,27
30,27,31,34,28,24,24,21,19,29
27,27,27,25,24,23,22,22,20,18
33,32,18,22,25,21,25,19,20,19
30,28,30,28,28,26,26,23,23,22
28,29,28,30,28,23,24,26,23,23
29,30,27,30,29,28,24,22,24,22
22,29,31,29,29,28,26,26,24,26
25,30,29,31,28,30,20,23,23,25
27,30,20,30,26,28,29,27,23,20
20,23,21,27,30,25,26,30,23,26
23,26,23,22,26,31,26,21,27,20
32,25,29,20,28,25,24,27,22,22
27,23,24,27,24,27,27,25,24,23
24,28,25,22,28,27,25,30,27,23
22,30,34,28,29,25,23,28,29,25
28,22,22,26,27,27,28,24,26,25
26,31,26,25,26,26,29,27,24,32
24,26,29,24,28,24,26,26,26,28
25,26,24,25,29,31,31,28,31,30
27,24,28,28,31,25,27,31,25,24
22,27,26,29,25,30,31,25,33,27
24,24,23,27,29,29,32,26,27,25
26,24,27,24,27,30,26,30,32,29
28,23,29,24,30,29,29,30,28,22
25,24,29,23,26,25,30,27,29,34
29,29,25,28,26,28,26,29,29,32
27,30,31,25,29,26,24,33,29,29
29,29,22,24,28,27,28,29,30,23
25,30,28,26,28,29,30,30,33,34
28,27,24,28,28,32,31,33,28,26
23,26,22,19,25,29,29,32,34,24
26,26,26,28,29,30,31,31,33,35
20,21,35,31,28,32,28,34,33,34
56.60377358,52.83018868,56.60377358,52.83018868,52.83018868,49.05660377,49.05660377,43.39622642,43.39622642,41.50943396
52.83018868,54.71698113,52.83018868,56.60377358,52.83018868,43.39622642,45.28301887,49.05660377,43.39622642,43.39622642
54.71698113,56.60377358,50.94339623,56.60377358,54.71698113,52.83018868,45.28301887,41.50943396,45.28301887,41.50943396
41.50943396,54.71698113,58.49056604,54.71698113,54.71698113,52.83018868,49.05660377,49.05660377,45.28301887,49.05660377
